year,category,category_slug,category_url,rank,rank_label,venue_idx,name,venue_url,profile_url,address,postcode,lat,lon,geocode_source
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,8,eighth place,2,Embers,https://restaurantsbrighton.co.uk/embers-brighton/,https://restaurantsbrighton.co.uk/embers-brighton/,"42 Meeting House Lane, Brighton, BN1 1HB",BN1 1HB,50.822154,-0.140729,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,9,ninth place,14,Lost in The Lanes,https://restaurantsbrighton.co.uk/lost-in-the-lanes-brighton/,https://restaurantsbrighton.co.uk/lost-in-the-lanes-brighton/,10 Nile Street Brighton BN1 1HW,BN1 1HW,50.821456,-0.140615,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,10,Tenthplace,47,Nord Hove,https://www.instagram.com/nordhove/,,,BN1 2PA,50.825227,-0.154380,ONSPD via Nominatim postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,11,eleventh place,48,Black Mocha,https://www.instagram.com/blackmochabrighton/,,,BN1 4AP,50.827122,-0.139523,ONSPD via Nominatim postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,12,twelfth place,49,Foodilic,https://www.instagram.com/foodilic/,https://restaurantsbrighton.co.uk/foodilic-brighton/,"163 Western Road, Brighton, BN1 2BB",BN1 2BB,50.824431,-0.148789,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,13,Thirteenth place,50,River Cafe and Bistro,https://restaurantsbrighton.co.uk/river-cafe-bistro-shoreham/,https://restaurantsbrighton.co.uk/river-cafe-bistro-shoreham/,6 High Street Shoreham-by-Sea West Sussex BN43 5DA,BN43 5DA,50.831893,-0.275634,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,14,Fourteenth place,51,Â Table,https://restaurantsbrighton.co.uk/a-table-brighton/,https://restaurantsbrighton.co.uk/a-table-brighton/,75 St. James's Street BN2 1PA Brighton,BN2 1PA,50.820254,-0.131037,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,15,fifteenth place,52,Cafe Rust,https://www.instagram.com/cafe_rust/,,,BN2 1EA,50.819140,-0.123500,ONSPD via Nominatim postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,16,sixteenth place,53,Baked,https://restaurantsbrighton.co.uk/baked-hove/,https://restaurantsbrighton.co.uk/baked-hove/,"69 Church Road, Hove BN3 2BB",BN3 2BB,50.827508,-0.167283,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,17,seventeenth place,54,East Brighton Cafe,https://www.brighton-hove.gov.uk/libraries-leisure-and-arts/parks-and-green-spaces/east-brighton-park,,,BN1 1HP,50.820285,-0.139383,ONSPD via Nominatim postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,18,eighteenth place,55,Trading Post Coffee,https://restaurantsbrighton.co.uk/trading-post-coffee-brighton/,https://restaurantsbrighton.co.uk/trading-post-coffee-brighton/,"36 Ship St, Brighton, BN1 1AB",BN1 1AB,50.822959,-0.141790,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,19,nineteenth place,56,MEO,https://restaurantsbrighton.co.uk/meo-brighton/,https://restaurantsbrighton.co.uk/meo-brighton/,"39 St James's St, Kemptown, Brighton and Hove, Brighton BN2 1RG",BN2 1RG,50.820743,-0.132394,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,20,twentieth place,57,Burger & Lobster,https://restaurantsbrighton.co.uk/burger-and-lobster/,https://restaurantsbrighton.co.uk/burger-and-lobster/,15 Market Street Brighton BN1 1HH,BN1 1HH,50.821460,-0.139763,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,1,First place,58,Earth & Stars,https://restaurantsbrighton.co.uk/earth-and-stars-brighton/,https://restaurantsbrighton.co.uk/earth-and-stars-brighton/,"46 WINDSOR STREET, BRIGHTON, EAST SUSSEX BN1 1RJ",BN1 1RJ,50.824543,-0.142466,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,2,Second place,4,Bonsai Plant Kitchen,https://restaurantsbrighton.co.uk/bonsai-plant-kitchen/,https://restaurantsbrighton.co.uk/bonsai-plant-kitchen/,"44/45 Baker Street Brighton, BN1 4JN",BN1 4JN,50.831726,-0.135307,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,3,Third place,0,terre à terre,https://restaurantsbrighton.co.uk/terre-a-terre/,https://restaurantsbrighton.co.uk/terre-a-terre/,"71 East St, Brighton, The City of Brighton and Hove BN1 1HQ, UK",BN1 1HQ,50.820397,-0.139095,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,4,fourth,41,Moksha,https://restaurantsbrighton.co.uk/moksha-caffe-brighton/,https://restaurantsbrighton.co.uk/moksha-caffe-brighton/,4-5 York Place Brighton East Sussex BN1 4GU,BN1 4GU,50.828646,-0.135785,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,5,fifth,59,Majahma,https://restaurantsbrighton.co.uk/majahma-tiffin-delivery-brighton/,https://restaurantsbrighton.co.uk/majahma-tiffin-delivery-brighton/,,,,,
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,6,sixth,60,Pink Moon,https://www.instagram.com/waxingpink/,https://restaurantsbrighton.co.uk/small-plates-brighton/,,BN1 1AF,50.822545,-0.141565,ONSPD via Nominatim (Sussex bbox)
